
2 3.49e-07
4 4.47e-07
6 6.34e-07
8 7.28e-07
10 8.58e-07
12 1.097e-06
14 1.393e-06
16 1.267e-06
17 1.261e-06
19 1.47e-06
21 1.728e-06
23 1.728e-06
25 2.042e-06
26 2.272e-06
28 2.066e-06
30 2.218e-06
32 2.246e-06
34 2.325e-06
36 2.42e-06
38 3.222e-06
40 2.934e-06
42 3.11e-06
44 3.115e-06
45 3.148e-06
47 3.373e-06
49 3.367e-06
51 3.525e-06
52 3.434e-06
53 3.619e-06
55 3.718e-06
58 3.809e-06
60 3.809e-06
62 3.755e-06
64 4.338e-06
66 5.081e-06
68 4.923e-06
70 5.562e-06
71 5.277e-06
72 4.723e-06
74 5.132e-06
76 5.014e-06
78 5.011e-06
80 4.879e-06
81 6.568e-06
83 5.957e-06
85 5.732e-06
87 6.049e-06
88 5.753e-06
90 6.43e-06
92 6.314e-06
94 7.485e-06
96 7.411e-06
98 7.457e-06
100 7.019e-06
102 6.886e-06
103 6.512e-06
105 8.532e-06
107 7.964e-06
109 7.203e-06
111 8.5e-06
113 7.868e-06
115 7.296e-06
116 8.209e-06
118 9.894e-06
120 7.94e-06
122 8.16e-06
124 7.245e-06
126 9.546e-06
128 9.668e-06
130 8.385e-06
132 8.717e-06
134 8.266e-06
136 1.1053e-05
137 8.537e-06
139 9.25e-06
141 8.673e-06
143 8.876e-06
145 9.334e-06
147 9.41e-06
149 9.14e-06
151 9.667e-06
153 9.882e-06
155 9.427e-06
157 1.0195e-05
158 1.0238e-05
160 1.037e-05
162 1.0277e-05
164 1.1015e-05
166 1.0929e-05
168 1.0391e-05
170 2.2317e-05
172 1.3203e-05
174 1.1699e-05
176 1.1419e-05
178 1.2023e-05
180 1.1522e-05
182 1.202e-05
184 1.2012e-05
186 1.1374e-05
188 1.4242e-05
