#   line (B)  time (µs)
        1024       802.8
        2048       802.6
        4096       742.5
        8192       742.5
       16384       743.8
       32768       742.5
       65536      2441.6
      131072      2637.1
      262144      2877.7
      524288      3198.9
     1048576      3448.4
     2097152      3877.4
     4194304      9042.6
     8388608     11527.5
    16777216     11525.0
    33554432     11489.4
    67108864     11509.2
